Date,Round,Venue,Result,GF,GA,Opponent,xG,xGA,Poss
4/5/2022,Group stage,Away,W,2,0,pe Sporting Cristal,0.7,1.1,48
4/12/2022,Group stage,Home,W,3,1,ar Talleres,1.3,0.8,56
4/28/2022,Group stage,Away,W,3,2,cl Univ Católica,2.9,0.9,41
5/4/2022,Group stage,Away,D,2,2,ar Talleres,0.5,1,59
5/17/2022,Group stage,Home,W,3,0,cl Univ Católica,3.8,1.1,45
5/24/2022,Group stage,Home,W,2,1,pe Sporting Cristal,1.8,0.8,58
,,,,,,,,,
6/29/2022,Round of 16,Away,W,1,0,co Tolima,0.3,1,48
7/6/2022,Round of 16,Home,W,7,1,co Tolima,4.5,0.6,47
,,,,,,,,,
8/2/2022,Quarter-finals,Away,W,2,0,br Corinthians,0.9,0.5,57
8/9/2022,Quarter-finals,Home,W,1,0,br Corinthians,2.1,0.5,57
,,,,,,,,,
8/31/2022,Semi-finals,Away,W,4,0,ar Vélez Sarsfield,2.8,0.4,58
9/7/2022,Semi-finals,Home,W,2,1,ar Vélez Sarsfield,1.4,0.7,51
,,,,,,,,,
10/29/2022,Final,Neutral,W,1,0,br Ath Paranaense,1.4,0.4,72
