,Date,Round,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Team,xG_cum
0,2025-04-03,Group stage,Away,W,1,0,ve Dep Táchira,1.4,0.2,61.0,Flamengo,1.4
1,2025-04-09,Group stage,Home,L,1,2,ar Cen. Córdoba–SdE,1.3,1.5,77.0,Flamengo,2.7
2,2025-04-22,Group stage,Away,D,0,0,LDU,0.6,1.0,56.0,Flamengo,3.3000000000000003
3,2025-05-07,Group stage,Away,D,1,1,Cen. Córdoba,0.9,0.9,55.0,Flamengo,4.2
4,2025-05-15,Group stage,Home,W,2,0,LDU,1.4,0.2,62.0,Flamengo,5.6
5,2025-05-28,Group stage,Home,W,1,0,ve Dep Táchira,1.5,0.4,62.0,Flamengo,7.1
6,2025-08-13,Round of 16,Home,W,1,0,Internacional,0.8,0.1,65.0,Flamengo,7.8999999999999995
7,2025-08-20,Round of 16,Away,W,2,0,Internacional,2.1,0.4,56.0,Flamengo,10.0
8,2025-09-18,Quarter-finals,Home,W,2,1,Estudiantes,1.9,0.5,56.0,Flamengo,11.9
10,2025-09-25,Quarter-finals,Away,L,0,1,Estudiantes,0.7,0.6,64.0,Flamengo,12.6
11,2025-10-22,Semi-finals,Home,W,1,0,Racing Club,2.1,0.3,72.0,Flamengo,14.7
12,2025-10-29,Semi-finals,Away,D,0,0,Racing Club,0.7,1.0,40.0,Flamengo,15.399999999999999
