Date,Round,Venue,Result,GF,GA,Opponent,Poss
3/9/2017,Group stage,Away,W,2,0,ve Zamora,56
4/11/2017,Group stage,Home,W,3,2,cl Iquique,54
4/20/2017,Group stage,Away,D,1,1,py Guaraní,42
4/27/2017,Group stage,Home,W,4,1,py Guaraní,48
5/3/2017,Group stage,Away,L,1,2,cl Iquique,50
5/25/2017,Group stage,Home,W,4,0,ve Zamora,61
7/4/2017,Round of 16,Away,W,1,0,ar Godoy Cruz,54
8/9/2017,Round of 16,Home,W,2,1,ar Godoy Cruz,59
9/13/2017,Quarter-finals,Away,D,0,0,br Botafogo (RJ),54
9/20/2017,Quarter-finals,Home,W,1,0,br Botafogo (RJ),52
10/25/2017,Semi-finals,Away,W,3,0,ec Barcelona,47
11/1/2017,Semi-finals,Home,L,0,1,ec Barcelona,48
11/22/2017,Finals,Home,W,1,0,ar Lanús,55
11/29/2017,Finals,Away,W,2,1,ar Lanús,34
