Date,Round,Venue,Result,GF,GA,Opponent,xG,xGA,Poss
4/21/2021,Group stage,Away,W,3,2,pe Universitario,2.5,1.4,52
4/27/2021,Group stage,Home,W,5,0,ec Independiente,2.4,0.8,38
5/4/2021,Group stage,Away,W,2,1,ar Defensa y Just,1.2,1.5,55
5/11/2021,Group stage,Away,W,1,0,ec Independiente,1,1,28
5/18/2021,Group stage,Home,L,3,4,ar Defensa y Just,1.4,1.2,54
5/27/2021,Group stage,Home,W,6,0,pe Universitario,4.4,0.1,56
7/14/2021,Round of 16,Away,W,1,0,cl Univ Católica,1,1.5,41
7/21/2021,Round of 16,Home,W,1,0,cl Univ Católica,2.4,1.3,50
8/10/2021,Quarter-finals,Away,D,1,1,br São Paulo,1.3,1.6,41
8/17/2021,Quarter-finals,Home,W,3,0,br São Paulo,1.3,0.7,42
9/21/2021,Semi-finals,Home,D,0,0,br Atlético Mineiro,0.2,1.3,42
9/28/2021,Semi-finals,Away,D,1,1,br Atlético Mineiro,1.2,1.7,37
11/27/2021,Final,Home,W,2,1,br Flamengo,0.7,1.4,36
