Date,Round,Venue,Result,GF,GA,Opponent,Poss
2/19/2015,Second stage,Away,L,0,2,bo San José,
3/5/2015,Second stage,Home,D,1,1,mx UANL,
3/12/2015,Second stage,Away,D,1,1,pe Juan Aurich,
3/19/2015,Second stage,Home,D,1,1,pe Juan Aurich,
4/8/2015,Second stage,Away,D,2,2,mx UANL,
4/15/2015,Second stage,Home,W,3,0,bo San José,
5/7/2015,Round of 16,Home,W,1,0,ar Boca Juniors,
5/14/2015,Round of 16,Away,W,3,0,ar Boca Juniors,
5/21/2015,Quarter-finals,Home,L,0,1,br Cruzeiro,
5/27/2015,Quarter-finals,Away,W,3,0,br Cruzeiro,
7/14/2015,Semi-finals,Home,W,2,0,py Guaraní,
7/21/2015,Semi-finals,Away,D,1,1,py Guaraní,
7/29/2015,Finals,Away,D,0,0,mx UANL,
8/5/2015,Finals,Home,W,3,0,mx UANL,
