Date,Round,Venue,Result,GF,GA,Opponent,Poss
2/23/2016,Second stage,Away,W,2,0,ar Huracán,
3/1/2016,Second stage,Home,W,3,0,pe Sporting Cristal,
3/8/2016,Second stage,Home,W,2,0,uy Peñarol,
3/15/2016,Second stage,Away,W,4,0,uy Peñarol,
4/12/2016,Second stage,Away,W,1,0,pe Sporting Cristal,
4/19/2016,Second stage,Home,D,0,0,ar Huracán,
4/26/2016,Round of 16,Away,D,0,0,ar Huracán,
5/3/2016,Round of 16,Home,W,4,2,ar Huracán,
5/12/2016,Quarter-finals,Away,L,0,1,ar Rosario Central,
5/19/2016,Quarter-finals,Home,W,3,1,ar Rosario Central,
7/6/2016,Semi-finals,Away,W,2,0,br São Paulo,
7/13/2016,Semi-finals,Home,W,2,1,br São Paulo,
7/20/2016,Finals,Away,D,1,1,ec Independiente,
7/27/2016,Finals,Home,W,1,0,ec Independiente,
