Date,Round,Venue,Result,GF,GA,Opponent,xG,xGA,Poss
2/21/2024,Second qualifying stage,Away,D,1,1,bo Aurora,2.1,0.8,36
2/28/2024,Second qualifying stage,Home,W,6,0,bo Aurora,4.3,0.3,51
3/6/2024,Third qualifying stage,Home,W,2,1,br RB Bragantino,0.7,0.2,46
3/13/2024,Third qualifying stage,Away,D,1,1,br RB Bragantino,0.8,1.5,38
4/3/2024,Group stage,Home,L,1,3,co Junior,0.7,2.5,58
4/11/2024,Group stage,Away,L,0,1,ec LDU de Quito,0.7,0.8,57
4/24/2024,Group stage,Home,W,3,1,pe Universitario,2.8,0.2,70
5/8/2024,Group stage,Home,W,2,1,ec LDU de Quito,2.1,0.9,60
5/16/2024,Group stage,Away,W,1,0,pe Universitario,0.5,0.6,44
5/28/2024,Group stage,Away,D,0,0,co Junior,0.5,0.5,42
8/14/2024,Round of 16,Home,W,2,1,br Palmeiras,1.7,0.3,51
8/21/2024,Round of 16,Away,D,2,2,br Palmeiras,1.2,2.7,35
9/18/2024,Quarter-finals,Home,D,0,0,br São Paulo,1.7,0.7,62
9/25/2024,Quarter-finals,Away,D,1 (5),1 (4),br São Paulo,0.9,2,41
10/23/2024,Semi-finals,Home,W,5,0,uy Peñarol,2,0.4,68
10/30/2024,Semi-finals,Away,L,1,3,uy Peñarol,1.7,1.6,44
11/30/2024,Final,Neutral,W,3,1,br Atlético Mineiro,1.8,1.8,21
