Date,Comp,Round,Venue,Result,GF,GA,Opponent,Poss
2/28/2018,Libertadores,Group stage,Away,D,2,2,br Flamengo,44
4/5/2018,Libertadores,Group stage,Home,D,0,0,co Santa Fe,72
4/19/2018,Libertadores,Group stage,Away,W,1,0,ec CS Emelec,47
4/26/2018,Libertadores,Group stage,Home,W,2,1,ec CS Emelec,62
5/3/2018,Libertadores,Group stage,Away,W,1,0,co Santa Fe,41
5/23/2018,Libertadores,Group stage,Home,D,0,0,br Flamengo,65
8/9/2018,Libertadores,Round of 16,Away,D,0,0,ar Racing Club,37
8/29/2018,Libertadores,Round of 16,Home,W,3,0,ar Racing Club,27
9/19/2018,Libertadores,Quarter-finals,Away,D,0,0,ar Independiente,44
10/2/2018,Libertadores,Quarter-finals,Home,W,3,1,ar Independiente,54
10/23/2018,Libertadores,Semi-finals,Home,L,0,1,br Grêmio,67
10/30/2018,Libertadores,Semi-finals,Away,W,2,1,br Grêmio,67
11/11/2018,Libertadores,Finals,Away,D,2,2,ar Boca Juniors,48
12/9/2018,Libertadores,Finals,Neutral,W,3,1,ar Boca Juniors,67
